organisms,counts
Arsenicicoccus bolidensis,2
Corynebacterium sp. YIM 101645,4
Streptomyces kaniharaensis,2
Nakamurella aerolata,2
Streptomyces pini,2
Microbispora sp. GKU 823,4
Frankia sp. AgPm24,3
Mycobacterium haemophilum,2
Pseudonocardia sp. TRM90224,3
Microbacterium sp. R1,3
Corynebacterium sp. KPL1824,3
Mycobacterium vicinigordonae,2
Hoyosella suaedae,2
Thermostaphylospora chromogena,2
Streptomyces pluripotens,2
Microlunatus capsulatus,2
Actinokineospora cianjurensis,2
Micrococcus sp. HG099,3
Gordonia jacobaea,2
Corynebacterium striatum,2
Phycicoccus mangrovi,2
Leucobacter sp. H25R-14,3
Nocardia sp.,2
Streptomyces sp. CEV 2-1,4
Cryobacterium sp. Y82,3
Streptomyces sp. NRRL S-1022,4
Streptomyces narbonensis,2
Streptomyces noursei ATCC 11455,4
Planomonospora venezuelensis,2
Streptomyces deccanensis,2
Streptomyces sp. Root264,3
Streptomyces viridifaciens,2
Allokutzneria sp. A3M-2-11 16,4
Microbacterium sp. SD291,3
Microlunatus phosphovorus,2
Actinocatenispora rupis,2
Ornithinicoccus hortensis,2
Saccharopolyspora sp. HNM0983,3
Streptomyces sp. TP-A0356,3
Microbacterium sp. RURRCA19A,3
Rathayibacter sp. Leaf248,3
Blastococcus sp. Marseille-P5729,3
Streptomonospora sp. NEAU-YY374,3
Candidatus Aquiluna sp. IMCC13023,4
Streptomyces aureocirculatus,2
Labedella phragmitis,2
Bifidobacterium tsurumiense,2
Serinibacter arcticus,2
Micromonospora radicis,2
Mycolicibacterium sp. CBMA 334,4
[Propionibacterium] namnetense SK182B-JCVI,3
Pseudarthrobacter sulfonivorans,2
Tsukamurella sp. TY48,3
Nocardia sp. MDA0666,3
Microbacterium sp. HD4P20,3
Desertihabitans brevis,2
Mycobacterium sp. SMC-8,3
Streptomyces sp. SID2119,3
Lentzea sp. HUAS12,3
Streptomyces zaomyceticus,2
Glaciihabitans sp. dw_435,3
Streptomyces carpinensis,2
Mycolicibacterium parafortuitum,2
Nocardioides sp. GY 10127,4
Micromonospora sp. NRRL B-16802,4
Microlunatus antarcticus,2
Nocardioides yefusunii,2
Bifidobacterium gallicum DSM 20093 = LMG 11596,7
Microbacterium excoecariae,2
Streptomyces camponoticapitis,2
Microbacterium sp. Leaf436,3
unclassified Dietzia,2
Dactylosporangium vinaceum,2
Jiangella mangrovi,2
Streptomyces fumanus,2
Cryobacterium sp. Y29,3
Streptomyces steffisburgensis,2
Microbacterium resistens,2
Nocardioides soli,2
Rathayibacter sp. AY1F6,3
Kocuria salsicia,2
Branchiibius sp. NY16-3462-2,3
Nocardia yunnanensis,2
Mycetocola saprophilus,2
Microbacterium sp. Leaf347,3
Frankia discariae,2
Streptomyces albus subsp. albus,4
Pseudoclavibacter triregionum,2
Microbacterium sp. 3J1,3
Fodinicola acaciae,2
Nocardia harenae,2
Streptomyces sp. NRRL F-4489,4
Actinoplanes siamensis,2
Streptomyces sp. CNQ-509,3
Streptomyces rubiginosus,2
Herbidospora cretacea,2
Streptomyces sp. CB02613,3
Streptacidiphilus sp. ASG 303,4
Micrococcaceae bacterium,2
Arsenicicoccus piscis,2
Arthrobacter sp. FB24,3
Actinoplanes awajinensis,2
Bifidobacterium sp. DSM 109960,4
Cryobacterium sp. TMT1-66-1,3
Micromonospora lupini str. Lupac 08,5
Actinomyces sp. 594,3
Nocardia sp. NRRL WC-3656,4
Streptomyces sp. AC550_RSS872,3
Mycolicibacterium aromaticivorans,2
Schaalia georgiae,2
Clavibacter sp. VKM Ac-2872,4
Arthrobacter terrae,2
Rothia sp.,2
Rathayibacter caricis,2
Microbacterium sp. CH1,3
Nocardia pseudovaccinii,2
Streptomyces sp. CB01201,3
Actinoplanes missouriensis,2
Arthrobacter sp. 9V,3
Streptomyces himalayensis,2
Rhodococcus sp. SMB37,3
Mycobacterium vulneris,2
Nesterenkonia halophila,2
Streptomyces sp. McG3,3
Arthrobacter sp. NamB2,3
Streptomyces griseorubiginosus,2
Streptomyces fragilis,2
Streptomyces sp. CBG33,3
Nakamurella flavida,2
Streptomyces megasporus,2
Corynebacterium uberis,2
Microbacterium sp. CPCC 204701,4
Microbacterium schleiferi,2
Propionibacterium sp.,2
Streptomyces sp. Go40/10,3
Nocardia sp. SYP-A9097,3
Modestobacter sp. KNN46-3,3
Mycobacterium parascrofulaceum ATCC BAA-614,4
Streptomyces sp. 3213.3,3
Mycobacterium paraintracellulare,2
Leucobacter sp. 7(1),3
Tsukamurella paurometabola,2
Mycolicibacterium pulveris,2
Streptomyces fradiae,2
Corynebacterium sp. HMSC036D02,3
Bifidobacteriaceae bacterium NR015,3
Arthrobacter sp. M4,3
Arthrobacter sp. H-02-3,3
Demequina soli,2
Curtobacterium sp. UNCCL20,3
unclassified Actinotalea,2
Curtobacterium pusillum,2
Nonomuraea roseoviolacea,2
Ornithinimicrobium humiphilum,2
Nocardioides solisilvae,2
Natronosporangium hydrolyticum,2
Kineococcus aurantiacus,2
Pseudarthrobacter psychrotolerans,2
Streptomyces sp. Ag109_O5-10,3
Corynebacterium cystitidis,2
Pontimonas sp.,2
Curtobacterium sp. ISL-83,3
Marisediminicola senii,2
Streptomyces sp. ETH9427,3
Brevibacterium sp. 'Marine',3
Cryobacterium sp.,2
Nocardiopsis dassonvillei,2
Marmoricola mangrovicus,2
Corynebacterium sp. HMSC04H06,3
Mycolicibacterium malmesburyense,2
Rathayibacter sp. VKM Ac-2929,4
Cryobacterium ruanii,2
Kineosporia sp. R_H_3,3
Streptomyces sp. NRRL S-350,4
Streptomyces sp. fd1-xmd,3
Microbacterium sp. RU33B,3
Streptomyces sp. CB02120-2,3
Schumannella sp. 10F1D-1,3
Streptomyces sp. WM4235,3
Gordonia sp. NB41Y,3
Microlunatus sp. Gsoil 973,4
Streptomyces albofaciens,2
Brachybacterium sp. p3-SID957,3
[Micrococcus luteus] ATCC 49442,4
Streptomyces sp. CNQ085,3
Micromonospora sp. HM134,3
Micrococcus cohnii,2
Micromonospora tarapacensis,2
Microbispora sp. H10885,3
Microbacterium sp. SSW1-36,3
Subtercola frigoramans,2
Mycobacterium cookii,2
Streptomyces sp. SAT1,3
Nocardioides sp. S5,3
Embleya scabrispora,2
Cryobacterium sp. TMT4-31,3
Streptomyces sp. SHP22-7,3
Humibacter albus,2
Agromyces salentinus,2
Dermacoccus sp. 147Ba,3
Mycobacterium sp. E802,3
Lysinibacter cavernae,2
Blastococcus sp. DSM 44205,4
Bifidobacterium callitrichos DSM 23973,4
Streptomyces beijiangensis,2
Fannyhessea vaginae DSM 15829,4
Lentzea kentuckyensis,2
Streptomyces fodineus,2
Aquiluna sp.,2
Streptomyces sp. Ru73,3
Rhodococcus triatomae,2
Brevibacterium sp. UCMA 11754,4
Streptomyces sp. WMMB 714,4
Ornithinicoccus halotolerans,2
Kitasatospora sp. RG8,3
Gordonia pseudoamarae,2
Arthrobacter roseus,2
unclassified Saccharopolyspora,2
Rhodococcus sp. Leaf278,3
Nocardioides sp. zg-578,3
Streptomyces sp. PBH53,3
Mycobacterium decipiens,2
Amycolatopsis xylanica,2
Nocardia mangyaensis,2
Glycomyces albidus,2
Actinoplanes sp. L3-i22,3
Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854,9
Planomonospora sphaerica,2
Alloscardovia macacae,2
Streptomyces actinomycinicus,2
Pseudonocardia sp. EV170527-09,3
Microbacterium sp. ZOR0019,3
Nocardia donostiensis,2
Corynebacterium lujinxingii,2
Corynebacterium bovis,2
Salinispora mooreana,2
Curtobacterium sp. YR515,3
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,12
Cellulomonas sp. PhB150,3
Amycolatopsis kentuckyensis,2
Agreia pratensis,2
Rugosimonospora africana,2
Mycobacterium tuberculosis T17,3
Subtercola vilae,2
Actinokineospora iranica,2
Rhodococcus sp. UNC23MFCrub1.1,3
unclassified Terrabacter,2
Microbacterium sp. A18JL241,3
Rhodococcus sp. 06-235-1A,3
Crossiella equi,2
Streptomyces justiciae,2
Micromonospora echinospora,2
Gordonia hankookensis,2
Tessaracoccus sp.,2
Cellulomonas bogoriensis 69B4 = DSM 16987,6
Corynebacterium nuruki,2
Streptomyces panaciradicis,2
Gordonia neofelifaecis,2
Streptomyces sp. CBMA29,3
Mycobacterium ahvazicum,2
Cutibacterium acnes 266,3
Streptomyces abyssalis,2
Microbacterium sp. 11MF,3
Microbacterium sp. SZ1,3
Nocardioides zeae,2
Chryseoglobus sp. 28M-23,3
Streptomyces liliiviolaceus,2
Streptomyces sp. PLK6-54,3
Mycobacterium tuberculosis CCDC5079,3
Aeromicrobium erythreum,2
Microbacterium sp. Mcb102,3
Mycolicibacterium rutilum,2
Gordonia rhizosphera,2
Sinomonas susongensis,2
Microbacterium indicum,2
Streptosporangium becharense,2
Actinomadura pelletieri DSM 43383,4
unclassified Actinomyces,2
Mycolicibacterium boenickei,2
unclassified Corynebacterium,2
Mycobacterium kansasii ATCC 12478,4
Propionicimonas sp.,2
Streptomyces sp. AMCC400023,3
Streptomyces sp. IMTB 2501,4
Corynebacterium sp. HMSC070H05,3
Microterricola gilva,2
Nocardioides sp. URHA0020,3
Actinokineospora bangkokensis,2
uncultured Propionibacteriaceae bacterium,3
Streptomyces sp. IB2014 016-6,4
Actinomyces radicidentis,2
Streptomyces kebangsaanensis,2
Agreia bicolorata,2
Streptomyces viridiviolaceus,2
Streptomyces netropsis,2
Rhodococcus sp. 06-469-3-2,3
Streptomyces sp. 351MFTsu5.1,3
Microbispora sp. CL1-1,3
Pseudarthrobacter sp. R1,3
Rhodococcus sp. X156,3
Leifsonia sp. 21MFCrub1.1,3
Candidatus Frankia datiscae,3
Streptomyces sp. 09ZI22,3
Kribbella capetownensis,2
Dietzia sp. CQ4,3
Pseudonocardia cypriaca,2
Streptomyces sp. WAC00263,3
Microbacteriaceae bacterium BACL25 MAG-120322-bin65,4
Geodermatophilus normandii,2
Kibdelosporangium aridum,2
Nocardia nova,2
Humibacter sp. BT305,3
Kribbella solani,2
Actinomadura formosensis,2
Streptomyces sp. NL15-2K,3
Yinghuangia sp. KLBMP8922,3
Actinotalea sp. Marseille-Q4924,3
Georgenia soli,2
Nocardia uniformis,2
Cellulomonas sp. ACRRI,3
Lentzea albida,2
Streptomyces sp. MBT53,3
Streptomyces uncialis,2
Williamsia sp. DF01-3,3
Actinomyces gerencseriae,2
Nocardia asteroides NBRC 15531,4
Brevibacterium sp. Mu109,3
Cutibacterium acnes JCM 18920,4
Microbacterium fandaimingii,2
Nocardioides lianchengensis,2
Streptomyces sp. T12,3
Rathayibacter sp. VKM Ac-2857,4
Corynebacterium sp. HMSC074E01,3
Bifidobacterium sp. CP2,3
Actinophytocola algeriensis,2
Oryzihumus leptocrescens,2
Streptomyces abikoensis,2
Streptomyces sp. IgraMP-1,3
Brachybacterium sp. Marseille-Q7125,3
Cellulomonas sp. H30R-01,3
Nocardiopsis sp. CNT312,3
Cryobacterium psychrotolerans,2
Streptomyces sp. VRA16 Mangrove soil,5
Pseudarthrobacter sp. AB1,3
Salinibacterium sp. PAMC 21357,4
Mycolicibacterium chubuense,2
Mycobacterium sp. 20KCMC460,3
Sporichthya polymorpha,2
Arthrobacter sp. SLBN-53,3
Corynebacterium jeddahense,2
Mycobacterium palauense,2
Yimella sp. cx-51,3
Streptomyces chartreusis NRRL 3882,4
Actinomadura sp. WMMA1423,3
Streptomyces cacaoi,2
Actinoplanes couchii,2
Occultella glacieicola,2
Streptomyces sp. CJ_13,3
Nocardia amamiensis,2
Corynebacterium sp. HMSC065H09,3
Curtobacterium sp. B18,3
Nocardia africana,2
Tsukamurella tyrosinosolvens,2
Acrocarpospora corrugata,2
Streptomyces sp. A3M-1-3,3
Micromonospora sp. WMMC415,3
Catellatospora chokoriensis,2
Mycetocola sp. BIGb0189,3
Nocardia sp. XZ_19_369,3
Phycicoccus flavus,2
Metallococcus carri,2
Actinomadura barringtoniae,2
Microbacterium paraoxydans,2
Propionimicrobium lymphophilum ACS-093-V-SCH5,3
Corynebacterium sp. HMSC05H05,3
Friedmanniella luteola,2
Saccharopolyspora terrae,2
Frankia sp. Agncl-10,3
Nonomuraea thailandensis,2
Streptomyces niger,2
Streptomyces sp. NRRL S-37,4
Kitasatospora sp. CB02891,3
Streptomyces sp. LP11,3
Streptomyces rubrisoli,2
Streptomyces sp. PCS3-D2,3
Glycomyces dulcitolivorans,2
Micromonospora qiuiae,2
Propionicicella superfundia,2
Arthrobacter sp. 9MFCol3.1,3
Mycobacterium sp. EPa45,3
Streptomyces sp. SID5469,3
Herbidospora galbida,2
Cellulomonas sp. HLT2-17,3
Corynebacterium sp. NML 150383,4
Actinopolymorpha singaporensis,2
Cellulomonas sp. 73-92,3
Acrocarpospora phusangensis,2
Bifidobacterium castoris,2
Rothia sp. HMSC068F09,3
Cutibacterium acnes,2
Tropheryma whipplei TW08/27,3
Microbacterium sp. MRS-1,3
Streptomyces sp. DSM 41644,4
Propioniciclava sp. MC1683,3
Brachybacterium halotolerans,2
Marmoricola caldifontis,2
Curtobacterium sp. MCSS17_008,3
Acrocarpospora macrocephala,2
Streptomyces coelicolor A3(2),3
Curtobacterium sp. VKM Ac-1376,4
Actinomadura rayongensis,2
Thermocrispum agreste,2
Streptomyces sp. ISL-90,3
Actinoplanes sp. TFC3,3
Marisediminicola antarctica,2
Streptomyces sp. E5N91,3
Nocardioides daeguensis,2
Cryobacterium sp. Sr54,3
Streptomyces sp. CB02009,3
Actinoplanes teichomyceticus,2
Allorhizocola rhizosphaerae,2
Streptomyces sp. IBSBF 2807,4
Streptomyces sp. RTd22,3
Mycobacterium kubicae,2
Pseudokineococcus marinus,2
Streptomyces yerevanensis,2
Streptomyces daliensis,2
Streptomyces sp. RKCA744,3
Nonomuraea angiospora,2
Curtobacterium sp. 314Chir4.1,3
Curtobacterium sp. MR_MD2014,3
Streptomyces violaceusniger,2
Streptomyces collinus,2
Bifidobacterium miconis,2
Thermocatellispora tengchongensis,2
Nocardia stercoris,2
Mycobacterium sp. ACS4054,3
Corynebacterium sp. 5QC2CO,3
Amycolatopsis endophytica,2
Streptomyces sp. 846.5,3
Mycobacterium sp. Root135,3
Saccharothrix obliqua,2
Pseudoclavibacter sp. CFCC 11306,4
Cutibacterium acnes HL201PA1,3
Nocardioides sp. DJM-14,3
Microbacterium jejuense,2
Streptomyces sp. GESEQ-4,3
Streptomyces swartbergensis,2
Microbacterium sp. PM5,3
Mycobacterium simiae,2
Pseudonocardia sp. 73-21,3
Mycobacterium sp. 852002-51971_SCH5477799-a,3
Gordonia rubripertincta,2
Streptomyces sp. ventii,3
Curtobacterium sp. MCBD17_008,3
Actinomadura logoneensis,2
Nocardioides sp. cx-169,3
Micrococcus sp. KBS0714,3
Sphaerimonospora thailandensis,2
Cryobacterium sp. TMS1-13-1,3
Arthrobacter sp. 18067,3
Brevibacterium sp. XM4083,3
Streptomyces sp. RM72,3
Microbacterium sp. Leaf179,3
Antrihabitans stalactiti,2
Curtobacterium sp. MCBA15_001,3
Streptacidiphilus bronchialis,2
Micromonospora sp. CP22,3
Streptomyces sp. TLI_235,3
Streptomyces sp. LRE541,3
Geodermatophilus saharensis,2
Auraticoccus cholistanensis,2
Arthrobacter sp. NBRC 112813,4
Nocardia xishanensis,2
Kocuria sp. 257,3
Spongiactinospora gelatinilytica,2
Gardnerella vaginalis 315-A,3
Streptomyces sp. 8K308,3
Microbacterium sp. JZ31,3
Pseudonocardia sulfidoxydans,2
Nonomuraea sp. ATCC 55076,4
Arthrobacter sp. ZGTC412,3
Streptomyces sp. TBY4,3
Streptomyces humi,2
Saccharomonospora sp. NB11,3
Dietzia sp. Die43,3
Lentzea indica,2
Flaviflexus ciconiae,2
Pseudactinotalea sp. HY160,3
Knoellia sp. DB2414S,3
Rhodococcus sp. MTM3W5.2,3
Flavimobilis rhizosphaerae,2
Streptomyces anandii JCM 4720,4
Streptomyces sp. MBRL 10,4
Cellulomonas avistercoris,2
Auritidibacter sp. Marseille-P8566,3
Bifidobacterium longum subsp. longum KACC 91563,6
Janibacter sp. Soil728,3
Microbacterium sp. cf046,3
Gordonia sp. OPL2,3
Candidatus Brevibacterium intestinavium,3
Amycolatopsis circi,2
Curtobacterium sp. KBS0715,3
Blastococcus sp. DSM 44268,4
Gordonia sp. ABSL49_1,3
Hamadaea tsunoensis,2
Streptomyces ruber,2
Segniliparus rugosus,2
Actinomyces polynesiensis,2
Streptomyces sp. AS02,3
Streptomyces corallincola,2
Mycobacterium innocens,2
Rhodococcus sp. JT-3,3
Bifidobacterium sp. MSTE12,3
Streptomyces sp. SID8366,3
Amycolatopsis sp. TNS106,3
Streptomyces cahuitamycinicus,2
Micrococcus flavus,2
Streptomyces himalayensis subsp. aureolus,4
Kitasatospora purpeofusca,2
Nocardioides donggukensis,2
Agromyces archimandritae,2
Agromyces mariniharenae,2
Nocardioides zhouii,2
Phytoactinopolyspora halophila,2
Nocardioides sp. LS1,3
Microbacterium sp. oral taxon 186,5
Cutibacterium acnes KPA171202,3
Mycobacterium avium subsp. paratuberculosis 10-5975,5
Nonomuraea aridisoli,2
Microbacterium oleivorans,2
unclassified Leucobacter,2
Streptomyces aquilus,2
Actinoalloteichus spitiensis,2
Microbacterium dextranolyticum,2
Amycolatopsis sp. FDAARGOS 1241,4
Mycolicibacterium sp. OfavD-34-C,3
Demequina subtropica,2
Agrococcus sp. SGAir0287,3
Microbacterium sp. HMWF026,3
Bifidobacteriaceae bacterium MCC01972,3
Serinibacter salmoneus,2
Streptomyces sp. NRRL S-15,4
Microbacterium sp. Gd 4-13,4
Cryobacterium sp. Hz9,3
Streptomyces sp. SID7982,3
Actinomadura hibisca,2
Streptomyces somaliensis,2
Streptomyces chumphonensis,2
Ancrocorticia sp.,2
Marmoricola sp.,2
Streptomyces sp. SLBN-115,3
Pseudonocardia sp. DSM 110487,4
Micromonospora sp. CNB394,3
Prauserella sediminis,2
Frankia sp.,2
Gordonia phthalatica,2
Microbacterium sp. T32,3
Corynebacterium sp. HMSC070E08,3
Streptomyces xanthii,2
Streptomyces viridochromogenes DSM 40736,4
Nocardia puris,2
Mycobacterium sp. CnD-18-1,3
Sanguibacter sp. Leaf3,3
Actinoplanes auranticolor,2
Actinoplanes globisporus,2
Corynebacterium yudongzhengii,2
Pseudonocardia sp. S2-4,3
Streptomyces iakyrus,2
Thermobifida cellulosilytica,2
Micromonospora arida,2
Corynebacterium aquatimens,2
Prescottella defluvii,2
Brevibacterium rongguiense,2
Candidatus Avipropionibacterium avicola,3
Mycobacterium sp. 852013-50091_SCH5140682,3
Streptomyces sp. DH7,3
Streptomyces lucensis,2
Streptomyces sp. NEAU-YJ-81,3
Gordonia sp. GW1C4-4,3
Frigoribacterium endophyticum,2
Micromonospora sp. ATA32,3
Micromonospora sagamiensis,2
Yimella sp. RIT 621,4
Arthrobacter crusticola,2
Mycobacterium sp. TKK-01-0059,3
Streptomyces corchorusii,2
Rathayibacter sp. AY1D1,3
Mycobacterium sp. E2699,3
Actinomyces sp. oral taxon 849,5
Nocardia jejuensis,2
Arthrobacter sp. I2-34,3
Dietzia massiliensis,2
Rothia aerolata,2
Mycobacterium bohemicum DSM 44277,4
Mycobacterium pseudoshottsii JCM 15466,4
Rathayibacter sp. ZW T2_19,4
Pseudoclavibacter sp. VKM Ac-2888,4
Actinoplanes sp. TRM 88003,4
Corynebacterium silvaticum,2
Candidatus Dietzia intestinipullorum,3
Streptomyces olindensis,2
Corynebacterium freneyi,2
Clavibacter sp. VKM Ac-2542,4
Mycobacteroides abscessus subsp. abscessus,4
Streptomyces coffeae,2
Ruania halotolerans,2
Flaviflexus salsibiostraticola,2
Streptomyces sp. MBT65,3
Geodermatophilus africanus,2
Nonomuraea sp. TT08I-71,3
Streptomyces sp. SID6648,3
Mycobacterium sp. E2327,3
Corynebacterium pseudodiphtheriticum,2
Actinomadura graeca,2
Pseudarthrobacter sp. NS4,3
Streptomyces sp. SID5643,3
Rothia sp. HMSC065C12,3
Mycobacterium holsaticum,2
Mobilicoccus massiliensis,2
Kocuria dechangensis,2
Actinomadura nitritigenes,2
Bifidobacterium stellenboschense,2
Corynebacterium glutamicum MB001,3
Streptomyces sp. AC04842,3
Corynebacterium sphenisci,2
Renibacterium salmoninarum,2
Sporichthyaceae bacterium,2
Streptomyces canarius,2
Rhodococcus sp. WB9,3
Rathayibacter sp. PhB151,3
Mumia sp. ZJ1417,3
Amycolatopsis sacchari,2
Streptomyces sp. SID13031,3
Pseudonocardia spinosispora,2
Actinomadura sp. NAK00032,3
Prauserella aidingensis,2
Nocardioidaceae bacterium SCSIO 66511,4
Tessaracoccus oleiagri,2
Streptomyces sp. SID6013,3
Schaalia meyeri,2
Janibacter anophelis,2
Amnibacterium setariae,2
Streptomyces sp. ISL-100,3
Arcanobacterium sp.,2
Mycolicibacterium houstonense,2
Nocardioides flavus Wang et al. 2016,6
Streptomyces sp. 8L,3
Nocardia coubleae,2
Gardnerella sp. Marseille-Q2328,3
Mycolicibacterium mageritense,2
Janibacter sp. HTCC2649,3
Arthrobacter zhaoguopingii,2
Salinibacterium sp. NG22,3
Streptomyces showdoensis,2
Xylanibacterium ulmi,2
Arthrobacter sp. Soil762,3
Streptomyces wuyuanensis,2
Microbacterium paludicola,2
Corynebacterium freiburgense,2
Frondihabitans sp. PAMC 28766,4
Verrucosispora sp. SN26_14.1,3
Plantibacter sp. CFBP 13570,4
Streptomyces sp. NRRL F-5727,4
Brevibacterium sp. HMSC07C04,3
Dermacoccus sp. PE3,3
Streptomyces flaveus,2
Streptomyces sp. 4503,3
Microbacterium sp. 2FI,3
Micromonospora sp. ATA51,3
Janibacter hoylei PVAS-1,3
Bifidobacterium animalis subsp. lactis ATCC 27673,6
Arthrobacter sp. KBS0702,3
Microbacterium ulmi,2
Streptomyces sp. MBT33,3
Corynebacterium mustelae,2
Mycobacterium sp. Soil538,3
Streptomyces sp. KD18,3
Brachybacterium avium,2
Labedella endophytica,2
Streptacidiphilus melanogenes,2
Corynebacterium capitovis,2
Streptomyces sp. Root369,3
Canibacter oris,2
Streptomyces sp. 769,3
Streptomyces sp. PAN_FS17,3
Mycobacterium avium subsp. paratuberculosis 10-8425,5
Rarobacter incanus,2
Mycolicibacterium acapulense,2
Streptomyces physcomitrii,2
Brevibacterium sandarakinum,2
Saccharopolyspora endophytica,2
Blastococcus sp. URHD0036,3
Nonomuraea typhae,2
Streptomyces sp. A0642,3
Cellulomonas denverensis,2
Brachybacterium kimchii,2
Klenkia soli,2
Streptomyces sp. UNOC14_S4,3
Pseudoclavibacter endophyticus,2
Streptomyces sp. DASNCL29,3
Corynebacterium sp. CCM 9184,4
Streptomyces sp. NRRL B-24085,4
Actinopolyspora biskrensis,2
Planobispora takensis,2
Curtobacterium sp. S6,3
Brevibacterium album,2
Nocardioides speluncae,2
Micromonospora echinaurantiaca,2
Mycobacterium malmoense,2
Streptomyces sp. WAC08241,3
Rhodococcus sp. USK10,3
Streptomyces sp. MBT51,3
Sinomonas sp. NEAU-HV1,3
Streptomyces sp. NRRL B-1381,4
Janibacter massiliensis,2
Terrabacter aerolatus,2
Streptomyces sp. CHD11,3
Microbacterium sp. ISL-59,3
Mycobacterium sp. 1100029.7,3
Streptomyces bryophytorum,2
Dermabacter vaginalis,2
Corynebacterium sp. LD5P10,3
Streptomyces sp. SLBN-118,3
Curtobacterium sp. PhB25,3
Streptomyces sp. SID6139,3
Frigoribacterium sp. NBH87,3
Streptomyces sp. STD 3.1,4
Plantibacter sp. MCCC 1A11337,4
Brachybacterium sp. FME24,3
Corynebacterium pseudotuberculosis 42/02-A,3
Actinomadura sp. NEAU-AAG7,3
Mycolicibacterium sp. CBMA 360,4
Curtobacterium sp. L6-1,3
Streptacidiphilus carbonis,2
Nocardioides sp. zg-579,3
Nocardia acidivorans,2
Antribacter sp. KLBMP9083,3
Mycobacterium sp. KBS0706,3
Mycobacterium kyogaense,2
Marinactinospora thermotolerans,2
Streptomyces sp. Ru62,3
Brevibacterium siliguriense,2
Streptomyces pristinaespiralis,2
Nonomuraea harbinensis,2
Prauserella muralis,2
Mycobacterium celatum,2
Rhodococcus sp. T7,3
unclassified Cryobacterium,2
Nocardioidaceae bacterium,2
Streptomyces thermoviolaceus,2
Streptomyces neyagawaensis,2
Diaminobutyricimonas sp. LJ205,3
Tomitella gaofuii,2
Nonomuraea jiangxiensis,2
Rhodococcus pseudokoreensis,2
Citricoccus sp. K5,3
Microbacterium sp. KSW4-4,3
Verrucosispora sioxanthis,2
Micromonospora sp. C32,3
Kribbella sindirgiensis,2
Nocardia sp. XZ_19_385,3
Candidatus Blastococcus massiliensis,3
Microbacterium aurantiacum,2
Bifidobacterium longum subsp. longum ATCC 55813,6
Rothia sp. HMSC036D11,3
unclassified Schaalia,2
Rothia sp. HMSC075F09,3
Luteococcus japonicus,2
Actinomyces naeslundii,2
Actinomyces sp. oral taxon 175 str. F0384,7
Streptomyces triticisoli,2
Cellulomonas septica,2
Nocardia sp. CNY236,3
Micromonospora sp. STR1_7,3
Pseudoclavibacter sp. RFBG4,3
Streptomyces acidicola,2
Streptomyces sp. VN1,3
Saccharopolyspora erythraea NRRL 2338,4
Nocardia speluncae,2
Microbispora sp. CSR-4,3
Cryobacterium sp. N19,3
Austwickia sp. TVS 96-490-7B,4
Microbacteriaceae bacterium MWH-Ta3,3
Pseudosporangium sp. NEAU-24,3
Candidatus Leucobacter sulfamidivorax,3
Streptomyces sp. MspMP-M5,3
Streptomyces sp. YS415,3
Brachybacterium sp. HMSC06H03,3
Corynebacterium sp. HMSC073H12,3
Streptomyces sp. col6,3
Streptomyces sp. A2-16,3
Streptomyces avidinii,2
Rothia sp. HMSC062F03,3
Nocardiopsis kunsanensis,2
Rhodococcus pyridinivorans,2
Longimycelium tulufanense,2
Nonomuraea polychroma,2
Microbacterium hibisci,2
Rhodococcus erythropolis group,3
Streptomyces sp. SID14446,3
Corynebacterium sp. ACRPQ,3
Cellulosimicrobium marinum,2
Brevibacterium sp. 2SA,3
Corynebacterium kroppenstedtii DSM 44385,4
Corynebacterium sp. TAE3-ERU12,3
Cellulomonas sp. NS3,3
Streptomyces sp. NRRL F-2580,4
Schaalia sp. ZJ1691,3
Microbacterium cremeum,2
Modestobacter marinus,2
Streptomyces diastatochromogenes,2
Arthrobacter sp. zg-Y108,3
Geodermatophilus dictyosporus,2
Streptomyces sp. 891-h,3
Actinomyces glycerinitolerans,2
Rhodococcus sp. PvR099,3
Amycolatopsis sp. FU40,3
Saccharomonospora xinjiangensis,2
Streptomyces phaeolivaceus,2
Streptomyces sp. 130,3
Microbacterium sp. 1.5R,3
Aeromicrobium sp. 9AM,3
Mycobacterium sp. SM1,3
Streptomyces guanduensis,2
Bifidobacterium criceti,2
Prauserella marina,2
Cellulomonas flavigena,2
Rothia dentocariosa,2
Oerskovia turbata,2
Leifsonia sp.,2
Mycobacterium szulgai,2
Candidatus Lumbricidophila eiseniae,3
uncultured Frankineae bacterium,3
Demequina flava,2
Auritidibacter sp. NML120779,3
Streptomyces sp. SID2999,3
Streptomyces sp. NEAU-sy36,3
Mycobacterium tuberculosis M2416,3
Mycobacterium tuberculosis H37Rv,3
Serinicoccus profundi,2
Microbacterium thalassium,2
Rhodococcus sp. 1163,3
Thermomonospora cellulosilytica,2
Arthrobacter sp. 08Y14,3
Streptomyces sp. A1277,3
Mycobacterium marseillense,2
Amycolatopsis vancoresmycina,2
Micromonospora sp. MP36,3
Rhodococcus opacus,2
Streptomyces nanshensis,2
Actinopolymorpha alba,2
Streptomyces sp. NEAU-S7GS2,3
Streptomyces sp. TM32,3
Cryobacterium sp. LW097,3
Microbacterium sp. 67-17,3
Mycobacterium genavense,2
